"title","company","location","summary","link","uniqueid","description"
"Data Scientist","Amazon Dev Center U.S., Inc.","Boston, MA","Amazon Elastic File System (EFS) https://aws.amazon.com/efs/ is looking for a Data Scientist to dive deep into the vast data generated by a rapidly growing AWS…","https://www.indeed.com/rc/clk?jk=64c5659c8e9c82ab&fccid=fe2d21eef233e94a&vjs=3","06df8ff5e470df2050c048253e16cac2","Bachelor's Degree
3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist

Amazon Elastic File System (EFS) https://aws.amazon.com/efs/ is looking for a Data Scientist to dive deep into the vast data generated by a rapidly growing AWS storage service and applying current data analysis methods to produce insights that will improve customer experience, operational effectiveness, and business value. As a member of the Amazon EFS team, you’ll work closely with outstanding engineers and product managers to work hard, have fun, and create the future of cloud storage.

Building a High-Performing & Inclusive Team Culture
You should be passionate about working with a world-class team that welcomes, celebrates, and leverages a diverse set of backgrounds and skillsets to deliver results. Driving results is your primary responsibility, and doing so in a way that builds on our inclusive culture is key to our long term success.

Work/Life Balance
EFS values work-life balance. On normal days, our entire team is co-located in the Boston office, but we’re also flexible when people occasionally need to work from home. We generally keep core available hours from 10am to 4pm. Some of the team is available earlier and the rest of us work a little later.

Energizing and Interesting Technical Problems
You will work in partnership with engineers on the team to build and operate large scale systems that move and transform customer volume data and accelerate access to their data. You’ll be working to provide solutions to both internal and external customers and engage deeply with other teams within EFS, S3, EC2, and many other services. It’s humbling and energizing to provide data movement solutions to customers at AWS scale.

Mentorship & Career Growth
We’re committed to the growth and development of every member of EFS, and that includes our engineers. You will have the opportunity to contribute to the culture and direction of the entire EFS org and deliver initiatives that will improve the life of all of our teams.

As a Data Scientist on EFS you will be curious and dive deep into performance, business, and operational metrics. You’re excited about designing solutions that scale while also engaging individual customers in understanding their applications. You’re able to think about business opportunities, operational issues, and architectural diagrams in the course of a single conversation. You’re looking for a team of bright, capable engineers to work with directly in implementing your vision while also collaborating with other data scientists across AWS.
Understanding of operating system fundamentals (Linux or Windows)
Experience with AWS services

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
"Data Scientist Intern","Homesite Insurance","Boston, MA","Perform data mining and apply machine learning algorithms.","https://www.indeed.com/rc/clk?jk=3460ccb96fcb34d5&fccid=b9ca7ec1464dfa21&vjs=3","648def331f384105fa781567e2e7b055","Homesite Insurance was founded in 1997 and was one of the first companies to enable customers to purchase home insurance directly online, during a single visit. Since then, we've continued to innovate rapidly to meet the needs of our customers and their changing expectations.
One thing that's stayed the same since our founding: our commitment to our customers, partners and employees.
Join us on our journey as we continue to grow into a powerful contender in the field of insurance.
Come join Homesite, part of the American Family Enterprise, for our Summer 2021 Intern Program! This program will run mid-May through the end of August 2021.

The Data Scientist Intern will:
Assess data quality

Perform exploratory and statistical data analysis

Univariate & multivariate analysis

Treat missing values & outlier

Perform feature extraction

Perform data mining and apply machine learning algorithms

Model building/training

Model experiment

Model evaluation

Model deployment

Model automation

Model monitoring and optimizing models

Develop predictive/forecasting/statistical models

Operationalize models to convert data to insights

Disseminate actionable insights to business users

Analyze text, voice and/or image (unstructured data) analytics
Stay Connected! Join our Talent Community !"
"Data Scientist","Unum","Portland, ME","Data Visualization: Working knowledge of two or more data visualization tools and proficiency in static data visualization.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AV9isdB2iNFq7MNITge-w_AXqD4hA-KRfbVtwUipZE1ZWY5PljmcgHbqeUxv3vkM97km1EmswP9uoCvU07MM20LrHIh6KJ2--4sXDKnnTj2mjvsuOc7UM6qSw-Kv6O7iPKrLnTkT_c4I9SvQAtGlr3SohHnywfVixZJ0WPJYqpsb3EOb8TrAQaddenDQw9qzkbPTyPhCZ_Dz2fETizlS_tM4nvz0Qdm2Lci7hiOyd-tDQn2KerH-umCwg7CRJec1gpCwZVN4cj12XesLIrDfsqZCS5js6sUvwy33IdcPMOYHEpLup3H-ryRkCF1Tx7ALFsa-gSF0BhXjgikqDyRED9Av69NiUZbh_3aLhK1MY7CB9S-pspX7VYzyS6RU9fnWRZ4VVzftOMzqdKcrZyk2Rw7F-zMC6ue2ZZNM3VQ0T68fNF6tjTWHg3urdUt9sYncadFMwb86TuDDesnF4of8ZbSxqZ23nTv1ZIlbwC5M9kIq9iMNOr1OZfAoyYoQSQABeC0-s9jRFy6UOz3WlSUr_x&p=2&fvj=0&vjs=3","770dd442e4e2e8da6cdc12899b51c545","Job Posting End Date: 12/24
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary:
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.
Position will interface with actuaries on pricing, reserving, and risk.
Principal Duties and ResponsibilitiesDesign and execute analytical solutions using statistical, optimization, simulation and data mining methods with a focus on delivering actionable insights and partnership to deliver business value.Integrate large volume of data from different sources (including DB2, SQL Server, Web API and Teradata) to create data assets and perform analysesApply validation, aggregation and reconciliation techniques to create rich modeling-ready data framework.Construct predictive models using machine learning to explain and understand observed events, forecast expected behavior, or identify risk through scoring or clustering.Efficiently interpret results and communicate findings and potential value to manager.Support integration of solutions within existing business processes using automation techniques.Understand theory and application of current and emerging statistical methods and tools.Perform other related duties as assigned
Job Specifications
Bachelor’s degree in quantitative field is preferred
2 years preferred of professional experience or equivalent relevant work experience
Core Data Science Capabilities: Deep expertise in at least one of the following skillsets preferred, with basic capability in the others:
Programming & Process automation: Experience using APIs, file I/O, database, and analysis libraries. Understanding of programming in jupyter notebooks and/ or statistical packages. Understanding of process mapping and demonstrated application of scripting languages to automate processes. Exposure to data mining and web scraping.
Data Visualization: Working knowledge of two or more data visualization tools and proficiency in static data visualization. Basic understanding of dynamic data visualization
Statistics & Statistical modeling: Solid understanding of statistical inference and regression. Basic understanding of machine learning techniques including random forests and neural nets. Basic understanding of feature selection and extraction which may include analysis of categorical data, multiple comparisons, Central Limit Theorem, bootstrapping, and permutation tests
Data Extraction, Transformation, and Loading (ETL) skillsets preferred: Expertise in writing complex SQL queries that join multiple tables/databases. Given a business problem, independently explore databases/tables to identify best data sources. Demonstrates ability to troubleshoot complex SQL queries written by others with little guidance.
Core business capabilities: basic communication skills, exposure to financial services industry, and attention to detail and ability to prioritize while working on multiple projects keeping track of due dates
Leadership Capabilities: Ability to coach or mentor team members, respond quickly and positively to change, adheres to technical best practices by collaborating with team members to deliver high quality output
Preferred characteristics: Entrepreneurial self-starter. A thorough, results-oriented problem-solver, and a lifelong learner with voracious curiosity. Basic understanding of their organization.
~IN1
#LI-CM1
 Our company is built on helping individuals and families, and this starts with our employees. We want employees to maintain a positive balance, which is why we provide access to the benefits and resources they need to invest in themselves. From our onsite fitness facilities and generous paid time off to employee professional development programs, we are committed to helping employees live and work their best – both inside and outside the office.
Unum is an equal opportunity employer, considering all qualified applicants and employees for hiring, placement, and advancement, without regard to a person's race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status.
Company:
Unum"
"Data Scientist","Harvard University","Boston, MA","00 - Non Union, Exempt or Temporary.","https://www.indeed.com/rc/clk?jk=349a3652ec146687&fccid=5507a64404691526&vjs=3","697e4ca190ecb94f93c891d8d4c05ef3","Job Code
RS0356 Statistician I
Sub-Unit
-
Department
Neurobiology
Time Status
Full-time
Salary Grade
056
Union
00 - Non Union, Exempt or Temporary
Appointment End Date
30-Apr-2021
Pre-Employment Screening
Education, Identity
Schedule
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm
EEO Statement
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law."
"Data Scientist Intern","McGraw Hill",NA,"Experience with standard data science packages and methodologies.","https://www.indeed.com/rc/clk?jk=56dd33374aa887b9&fccid=58fef0e5bbfde084&vjs=3","6b032f8b36dac3df51cc24090b12189f","Build the FutureDo you enjoy testing the limits of possibility? At McGraw Hill, our Data Scientists drive progress and help build the future of learning. If you have the passion and technical expertise to thrive in an innovative and agile environment, we want to learn more about you.McGraw Hill, the leading provider of digital and print educational materials is looking for a Data Scientist Intern to work remotely within our Digital Platform Group (DPG). This group is responsible for building and supporting innovative on-line platforms to power learning across our K-12, Higher Education, International, and Professional segments. As part of this team, the Analytics and Reporting department is building best-in-class applications which leverage data and machine learning for advanced analytics and adaptive learning products. If you are interested in contributing to the future of digital and remote learning, join us!
This role works hands-on within our Data Science and Data Engineering team to:
Cleanse and wrangle student interaction data from our learning platformsBuild ML models which learn from student behavior and predict learning outcomesEvaluate performance and improve those modelsBuild service endpoints to deploy those models to real applications which are customer (instructor/student) facing
We are looking for someone with:
A degree program in Computer Science, Data Science, or equivalentStrong hands-on programming skills in Python or ScalaExperience with standard data science packages and methodologiesExperience training and evaluating a broad variety of supervised and unsupervised learning models using various optimization algorithmsExperience with Spark a big plusA desire to innovate in the adaptive learning/personalized digital learning space
Why work for us?
At McGraw Hill, you will be empowered to make a real impact on a global scale. Every day your individual efforts contribute to the lives of millions.
As an education innovation company, we're proud to play our part by inspiring learners around the world. If you bring your curiosity, we'll help you grow in a collaborative environment where everyone shares a passion for success.Are you ready for a new challenge? Apply for a career at McGraw Hill and together, we'll impact the world."
"Data Sciences Associate","Eli Lilly","Cambridge, MA","Apply machine-learning methods (e.g. deep learning, reinforcement learning, and generative adversarial networks) to biological imaging data.","https://www.indeed.com/rc/clk?jk=a77362d75f789875&fccid=ac8d156b339793e6&vjs=3","13818d08efc0ebe9411d5bb933dc9eb9","Full Job DescriptionAt Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
Organization Overview:

At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world. #WeAreLilly
Responsibilities:

Lilly is passionate about the discovery, development and commercialization of potential new medicines that will impact and improve the lives of patients. Our Neuroscience Next Generation Therapeutics team is an innovation-focused organization striving to identify, develop and apply the most cutting-edge technologies to deliver maximum benefit to our patients. Are you looking to be part of a growing, driven team where you will help to progress new therapeutic approaches toward clinical development and commercialization? Oligonucleotide-based therapies and other novel modalities represent an existing avenue of research toward development of the next generation of therapies.
The Next Generation Therapeutics group is a newly formed team with a focus on using novel therapeutic modalities to deliver medicines for chronic pain and neuro degenerative disorders. The group, based at our Cambridge Innovation Center in Kendal square, will work with internal and external partners to identify and deliver new novel therapies into patients at speed. The team is seeking experienced and inspiring scientists to join our fast-paced, interdisciplinary team as we leverage innovative RNA/oligonucleotide/gene and genomic based therapeutic modalities to enhance our portfolio.
As a data scientist you will be key to driving innovation within the team. You will need to have a creative and flexible approach to problem solving.
Develop innovative analytical approaches with translational impact for biological data
Automate your analyses within pipelines that can be run by collaborating scientists
Create reports and visualisations that tell the story of how well a new therapeutic is performing
Apply machine-learning methods (e.g. deep learning, reinforcement learning, and generative adversarial networks) to biological imaging data
Ingest data from both internal assays and from external vendors.Basic Requirements:
Bachelors in computational biology or chemistry, computer and information sciences, bioinformatics, cheminformatics, or related fields
Additional Skills/Preferences:Excellent communication skills and demonstrated efficiency in collaborating across functional boundaries
Demonstrated experience in processing, organizing, analyzing and visualizing complex data and information from disparate sources
Extensive experience in solving scientific problems using programming languages (R/ Python/ Julia/ C++) and developing visualizations (e.g. JavaScript)
Experience in data extraction and manipulation (e.g. SQL, GraphQL and Cypher)
Experience working with Cloud (AWS) and High-Performance Computing environments)Additional Information:
Location: Cambridge, MA
Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.
Lilly is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status."
"Data Scientist / Engineer","Harvard University","Boston, MA","00 - Non Union, Exempt or Temporary.","https://www.indeed.com/rc/clk?jk=f51201ad681b4071&fccid=5507a64404691526&vjs=3","1fe0aaa6e1a7890f4da59d9f837fb027","Job Code
I0756P Applications Professional II
Sub-Unit
-
Department
Neurobiology
Time Status
Full-time
Salary Grade
056
Union
00 - Non Union, Exempt or Temporary
Pre-Employment Screening
Education, Identity
Schedule
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm
EEO Statement
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law."
"Data Scientist","Kaplan",NA,"Improving our data engineering and workflow.","https://www.indeed.com/rc/clk?jk=c89d57cbc70ba759&fccid=4ffdd90de5b0ef8f&vjs=3","8640ee8b616ef07e27cc8e851f732721","Job Title
Data Scientist
Job Description
We are looking for Data Scientists to be part of the Metis Data Science Instructional Team. We seek individuals who love and are passionate about teaching others to be premier data scientists, excel at analyzing and visualizing data to solve important problems, and are fun to be around and work with. An ideal candidate should be quick to learn and adapt, care about the design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.
Responsibilities
Metis Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and project explorations.
Co-Teaching the Data Science Bootcamp
Metis Data Scientists co-teach our immersive 12-week bootcamp two thirds out of every year. On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students. The responsibilities include:
Teaching lessons both onsite and online
Leading course discussions
Providing personalized support to students
Improving the quality of our curriculum
Offering career guidance and interview support to our students and alumni
Developing Courses and Supporting Business Operations

Metis Data Scientists spend one third out of every year focused on internal operations and thought leadership. Some examples of how that time gets used includes:
Creating new courses and/or enhancing existing courses
Optimizing our admissions process
Improving our data engineering and workflow
Speaking at events and conferences
Writing articles and blogs
Assisting with instructor recruitment
Ideal Applicant
Has an exceptional background in at least two of the following three skill domains:
Computer Science
Math/Statistics
Data Science/Machine Learning
Has solid data science industry experience
Fluent in Python (numpy, pandas, sklearn)
Preferably has some teaching experience
Has excellent communication and listening skills
Approaches problems with a design perspective
Is passionate about continuous learning
Does not take themselves too seriously
Perks of the Role
Part of a team that is transforming education
Competitive compensation package
Opportunity to network and develop, both among Metis’ Data Science speaker community, as well as through Kaplan, the global educational company and parent company of Metis
Opportunity to work in different geographic locations
Location
Remote/Nationwide, USA
Additional Locations
Employee Type
Employee
Job Functional Area
Instructors
Business Unit
Kaplan is an Equal Opportunity Employer"
"Junior Data Scientist","PIÑATA SCIENCES","Boston, MA","Experience with machine learning techniques.","https://www.indeed.com/rc/clk?jk=7ee6e4997258f140&fccid=f8b1d4b5fc1e6f9f&vjs=3","73416370bafe36e7dea6b22867f3e152","Pinata Scienes is looking for an up and coming Data Scientist. This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word business value. In addition to building solutions, you must possess the aptitude and hunger to learn. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients. In order to succeed in this role, you must be passionate about solving business problems using data science.
Come bust open some data with us!
MAIN REQUIREMENTS:
Some experience building and implementing predictive models
Excellent customer engagement skills
Strong organizational, communication, writing and interpersonal skills
Expereience with a variety of technical tools for the manipulation of datasets
1-2 years of real-world business experience
Up to 50% travel
DESIRED SKILLS:
Experience with machine learning techniques
Fluency with scripting (Python / R)
Experience with Hadoop and related Big Data technologies"
"Junior Data Scientist","World Bank Group","Washington, DC","Communication skills: strong writing and data presentation skills, including data visualization.","https://www.indeed.com/rc/clk?jk=03f0a49a2928aab4&fccid=68e84a75b614b963&vjs=3","d7fbd7c670132976146f338957e6fd8f","Job #: req10275
Organization: World Bank
Sector: Economics
Grade: GE
Term Duration: 3 years 0 months
Recruitment Type: Local Recruitment
Location: Washington, DC,United States
Required Language(s): English
Preferred Language(s):
Closing Date: 1/10/2021 (MM/DD/YYYY) at 11:59pm UTCDescription

Do you want to build a career that is truly worthwhile? Working at the World Bank Group provides a unique opportunity for you to help our clients solve their greatest development challenges. The World Bank Group is one of the largest sources of funding and knowledge for developing countries; a unique global partnership of five institutions dedicated to ending extreme poverty, increasing shared prosperity and promoting sustainable development. With 189 member countries and more than 120 offices worldwide, we work with public and private sector partners, investing in groundbreaking projects and using data, research, and technology to develop solutions to the most urgent global challenges. For more information, visit www.worldbank.org
The World Bank’s Development Data Group is seeking a highly motivated and talented data scientist with experience in environmental statistics research, an interest in advancing methodological research on development statistics, and a passion for data science.
Data and statistics that improve our knowledge of development in all its forms are at the heart World Bank Group’s operational and research work. The Development Data Group’s mission is to put data to work for development through continuous improvements in data quality, accessibility and use.The Development Data Group is responsible for supporting many of the most prevalent and influential data products in the international development sector and includes a diverse range of technical backgrounds and areas of subject expertise. We provide technical expertise, subject matter expertise, partnership, and innovation to client countries, World Bank staff, and colleagues in international organizations, academia, and the non-profit and private sectors. The Development Data Group (DECDG) also serves as a liaison to the international statistical and development data communities.
The selected candidate will work in the Sustainable Development Statistics team situated in DECDG’s Indicators & Services (DECIS) cluster. The Sustainable Development Statistics (SDS) team is responsible for collecting and publishing reliable, high-quality statistics on demography, education, environment, finance and markets, health, labor, and poverty. The SDS team manages several data outputs, including the World Development Indicators (WDI).
Position Context:
The selected candidate will work on developing the environmental statistics portfolio for the WDI, and will be responsible for promoting an understanding and the use of environment related development data to specialists and non-specialists through research and analysis, visualizations and storytelling and other global public goods.The advertised position will focus on improving data, methods, documentation, and the dissemination of environment-related indicators in the WDI. The WDI is an important public resource and attracts considerable interest with around 13 million unique visitors each year to find data related to all aspects of development, both historical and current, and to follow trends and monitor development progress; its users include analysts, policymakers, students, academics, program managers, and all those curious about the state of the world. The WDI is an important source of information on countries’ trajectories towards the Sustainable Development Goals (SDGs). The SDGs’ strong focus on the environment and sustainability (e.g., Goals 6 on water, 7 on energy, 11 on sustainable cities, 12 on sustainable consumption, 13 on climate change, 14 on life under water, 15 on life on land) and the corresponding indicators place new demands on reporting on international environmental statistics. The selected candidate therefore would be expected to work on these areas.
ResponsibilitiesDuties and Accountabilities:
We are looking for an environmental analyst with strong data science skills to help us strengthen the methodology, data and the data management systems behind the WDI’s environment statistics related work. The specific duties will include:Methodology and analysisManage the curation, development, implementation and documentation of World Bank’s Environmental portfolio in the World Development Indicators.
Effectively communicate indicator’s current methodologies and changes through publications, methodological notes and research papers.Contribute to the improvement of methodologies for curating development data, in particular the World Development Indicators (e.g. researching methods for handling missing data, outlier detection, and aggregation).
Use spatial datasets to create novel environmental indicators for internal and external publication and dissemination, and contribute to research on alternative data sources for development indicators
Contribute to a new Data Letters initiative, a sequence of methodological notes, published several times each year, on approaches, quality issues, current practices and changes in development data.Data management and curationEvaluate, document and automate data management and curation processes such as data ingestion, transformation, quality control and dissemination.Contribute to the redesign of the World Development Indicators’ platform to improve functionality, user interface and documentation of data and methods.Coordinate the improvements to the underlying computer systems with the relevant IT specialists and lead computational implementation of new measurement approaches.
CoordinationSupport the maintenance and updating of the World Development Indicators database, as new data become available or methodological revisions become necessary.Coordinate the inputs from other World Bank departments on SDGs related to the environment.Participate in the working groups that coordinate activities across various World Bank departments.

Selection CriteriaA Masters or higher degree in data science, statistics, economics, geography or environment-related fields (e.g. agriculture, climate change, environment & natural resources, sustainability science, public policy etc.) with a strong quantitative and computational background.
At least two years of working experience in development/environment policy and statistics.
Analytical SkillsEnvironmental science: Strong technical knowledge of one or more domains of sustainable development data such as agriculture, climate change, environment & natural resources, and waterStatistics: Experience in statistics, econometrics, geospatial analysis, and/or machine learningData science: Experience in problem solving with strong skills in design and problem formulation; data curation; data acquisition, cleaning and management; data interpretation and analysis; and the presentation and communication of results in an engaging and reproducible mannerCommunication: Excellent oral and written communication skills in English with ability to translate research findings into policy relevant language
Technical SkillsProgramming: Excellent working knowledge of modern statistics, scripting and programming languages such as STATA, R, and/or Python and associated software librariesSpatial analysis: Expertise in at least one GIS analysis software, such as QGIS or ArcGISData visualization: Knowledge of data visualization tools such as R Shiny, Plotly or D3 is a strong advantage.Database management: Familiarity with SQL, database systems, and the management of data in enterprise environments is an advantage.
Soft SkillsAnalytical skills: ability to think strategically and rapidly analyze, interpret and integrate data information from varied sources into clear conclusions and recommendations.Communication skills: strong writing and data presentation skills, including data visualization.
Ability to produce quality work with a high degree of accuracy and attention to detail.Self-starter: ability to take the initiative and work independently.
Strong teamwork orientation, good interpersonal skills, and a proven ability to work effectively with a range of clients and colleagues.
Enthusiasm for, and commitment to, development and data work.
Core competenciesCollaborate Within Teams and Across Boundaries – collaborates across organizational boundaries, internally and externally with a sense of mutuality and respect. Consistently engages others in open dialogue, brings out any conflicting viewpoints and incorporates viewpoints into solutions, giving credit where credit is due. Leverages expertise of all team members to ensure successful outcomes. Makes choices and sets priorities with a World Bank Group (WBG) corporate perspective in mind.Lead and Innovate – encourages and works with others to identify, incubate and implement relevant solutions. Identifies opportunities in changing circumstances and energizes others to continuously improve, using intentional strategies to boost morale, team spirit, and productivity in context of WBG's values and mission. Helps others to understand problems, client needs and the underlying context.Deliver Results for Clients – Develops and implements solutions that show understanding of how clients and/or own work achieves results that are financially, environmentally and socially sustainable. Shares new insights based on in-depth understanding of the client and recommends solutions for current and future needs of clients. Holds self and team accountable for risk management and outcomes.Create, Apply and Share Knowledge – ensures systematic sharing of good practice and learning from lessons from across WBG, clients, and partners. Is known across WBG in their subject area and is sought out by WBG colleagues to advise, peer review, or contribute to technical knowledge products of others. Builds networks across the WBG and as part of external professional groups/networks.Make Smart Decisions – applies critical thinking and seeks inputs and experience from others to recommend a course of action consistent with the WBG's strategy. Evaluates risk and anticipates the short- and long-term implications of decisions. Commits to a decision and acts once a decision has been reached. Maintains a high degree of initiative, and can derive and implement clear courses of action, even when information is incomplete, incorrect, or the situation is otherwise ambiguous.
Poverty has no borders, neither does excellence. We succeed because of our differences and we continuously search for qualified individuals with diverse backgrounds from around the globe."
